Thread ID: 70154612562920
Fiber ID: 70154645137400
Total: 92.534922
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.023     0.000     0.000     0.023        5   InvoiceRepository#find_all_by_status 
  0.00      0.000     0.000     0.000     0.000       10   Kernel#freeze 
  0.00      0.000     0.000     0.000     0.000       30   Symbol#to_s 
  0.00      0.000     0.000     0.000     0.000        6   CSV#raw_encoding 
  0.00      0.016     0.000     0.000     0.016        5   ItemRepository#find_all_by_merchant_id 
  0.00      0.000     0.000     0.000     0.000        5   Kernel#raise 
  0.00      0.166     0.000     0.000     0.166        5   Invoice#items 
  0.00      0.250     0.000     0.000     0.250       10   InvoiceRepository#find_invoice_items 
  0.00      0.027     0.000     0.000     0.027        5   InvoiceRepository#find_by_status 
  0.00     16.067     0.000     0.000    16.067        5   SalesIntelligence#find_revenue_per_merchant 
  0.00     80.707     0.000     0.000    80.707        1   SalesEngineProfiler#business_intel 
  0.00      0.000     0.000     0.000     0.000       16   Fixnum#zero? 
  0.00      0.000     0.000     0.000     0.000        5   Item#merchant 
  0.00      0.000     0.000     0.000     0.000       12   Exception#backtrace 
  0.00     57.655     0.000     0.000    57.655        4   Enumerable#sort_by 
  0.00     14.867     0.000     0.000    14.867        5   SalesIntelligence#find_item_total 
  0.00      9.486     0.000     0.000     9.486        6   GenericRepo#initialize 
  0.00      0.004     0.000     0.000     0.004       10   InvoiceRepository#find_customer 
  0.00      0.035     0.000     0.000     0.034        7   InvoiceRepository#find_all_by_customer_id 
  0.00     80.686     0.000     0.000    80.686       10  *<Class::Timeout::ExitException>#catch 
  0.00      0.000     0.000     0.000     0.000        7   NoMethodError#initialize 
  0.00      0.000     0.000     0.000     0.000       10   Time#initialize 
  0.00      0.000     0.000     0.000     0.000        5   Symbol#to_proc 
  0.00      0.000     0.000     0.000     0.000       38   String#count 
  0.00      0.004     0.000     0.000     0.004       10   SalesFinder#find_customer_by_cust_id 
  0.00     15.978     0.000     0.000    15.978        8   MerchantRepository#find_revenue_by_date_per_merchant 
  0.00      0.000     0.000     0.000     0.000       12   Kernel#method 
  0.00      0.000     0.000     0.000     0.000       12   IO#rewind 
  0.00      0.000     0.000     0.000     0.000        5   Customer#first_name 
  0.00      0.000     0.000     0.000     0.000        6   CSV#init_comments 
  0.00      0.035     0.000     0.000     0.035        7   SalesFinder#find_invoices_by_cust_id 
  0.00      0.000     0.000     0.000     0.000        7   NameError#initialize 
  0.00      0.000     0.000     0.000     0.000        5   InvoiceRepository#create_invoice_items 
  0.00      0.000     0.000     0.000     0.000       30   NilClass#nil? 
  0.00     80.686     0.000     0.000    80.686       10  *<Module::Kernel>#catch 
  0.00      0.000     0.000     0.000     0.000       12   Kernel#initialize_dup 
  0.00      0.030     0.000     0.000     0.030        5   TransactionRepository#find_all_by_result 
  0.00     15.051     0.000     0.000    15.051        5   SalesIntelligence#find_qty_by_item 
  0.00      0.000     0.000     0.000     0.000        6   <Class::IO>#open 
